ID Read success  
REG_MODE2 success
REG_REFMUX success
REG_MODE0 success
09/13/2022,  Range is 5[kV/m], Resistor is 2.2[kOhm]
Timestamp 	voltage[V] 	current[mA] 	field strength[kV/m]
22:20:44.344	-0.001644	-0.000747	-0.003735
22:20:44.395	0.001098	0.000499	0.002496
22:20:44.446	0.015992	0.007269	0.036345
22:20:44.497	0.000699	0.000318	0.001588
22:20:44.548	0.010321	0.004691	0.023457
22:20:44.598	0.004640	0.002109	0.010546
22:20:44.649	0.015960	0.007255	0.036273
22:20:44.700	0.009915	0.004507	0.022534
22:20:44.752	0.000709	0.000322	0.001612
22:20:44.803	-0.019397	-0.008817	-0.044083
22:20:44.855	-0.017829	-0.008104	-0.040521
22:20:44.906	-0.014152	-0.006433	-0.032164
22:20:44.957	0.011820	0.005373	0.026864
22:20:45.008	0.020385	0.009266	0.046330
22:20:45.059	0.023715	0.010780	0.053898
22:20:45.110	0.019220	0.008736	0.043682
22:20:45.161	0.015684	0.007129	0.035644
22:20:45.211	0.015320	0.006964	0.034818
22:20:45.262	0.022001	0.010001	0.050003
22:20:45.313	0.017069	0.007759	0.038793
22:20:45.364	0.014341	0.006518	0.032592
22:20:45.415	0.014435	0.006562	0.032808
22:20:45.466	0.013796	0.006271	0.031354
22:20:45.517	0.013491	0.006132	0.030662
22:20:45.567	0.017527	0.007967	0.039833
22:20:45.618	0.008125	0.003693	0.018465
22:20:45.669	0.018269	0.008304	0.041521
22:20:45.720	0.016190	0.007359	0.036796
22:20:45.771	0.013665	0.006211	0.031056
22:20:45.822	0.018091	0.008223	0.041117
22:20:45.873	0.015902	0.007228	0.036141
22:20:45.924	0.013521	0.006146	0.030730
22:20:45.975	0.003398	0.001545	0.007723
22:20:46.026	0.010711	0.004868	0.024342
22:20:46.077	0.015534	0.007061	0.035305
22:20:46.128	0.006677	0.003035	0.015174
22:20:46.178	0.016809	0.007640	0.038201
22:20:46.229	0.021199	0.009636	0.048179
22:20:46.280	0.005441	0.002473	0.012366
22:20:46.331	0.018600	0.008454	0.042272
22:20:46.382	0.016821	0.007646	0.038229
22:20:46.433	0.021716	0.009871	0.049354
22:20:46.484	0.017852	0.008114	0.040572
22:20:46.535	0.019642	0.008928	0.044640
22:20:46.585	0.017819	0.008100	0.040498
22:20:46.636	0.021449	0.009750	0.048748
22:20:46.687	0.023006	0.010457	0.052287
22:20:46.738	0.019635	0.008925	0.044626
22:20:46.789	0.017324	0.007874	0.039372
22:20:46.840	0.023234	0.010561	0.052805
22:20:46.890	0.019040	0.008654	0.043272
22:20:46.941	0.017246	0.007839	0.039196
22:20:46.992	0.016067	0.007303	0.036516
22:20:47.043	0.013357	0.006071	0.030357
22:20:47.094	0.017780	0.008082	0.040409
22:20:47.145	0.017224	0.007829	0.039145
22:20:47.195	0.015526	0.007057	0.035287
22:20:47.246	0.024044	0.010929	0.054646
22:20:47.297	0.019848	0.009022	0.045110
22:20:47.348	0.015950	0.007250	0.036250
22:20:47.399	0.016637	0.007562	0.037812
22:20:47.450	0.020575	0.009352	0.046761
22:20:47.500	0.017500	0.007955	0.039773
22:20:47.551	0.016953	0.007706	0.038529
22:20:47.602	0.014988	0.006813	0.034064
22:20:47.653	0.019883	0.009038	0.045189
22:20:47.704	0.019643	0.008929	0.044644
22:20:47.755	0.005245	0.002384	0.011919
22:20:47.806	0.022925	0.010420	0.052102
22:20:47.856	0.019489	0.008859	0.044294
22:20:47.907	0.018573	0.008442	0.042211
22:20:47.958	0.017887	0.008131	0.040653
22:20:48.009	0.010826	0.004921	0.024605
22:20:48.060	0.019386	0.008812	0.044059
22:20:48.111	0.019988	0.009085	0.045426
22:20:48.162	0.016223	0.007374	0.036870
22:20:48.212	0.019911	0.009051	0.045253
