ID Read success  
REG_MODE2 success
REG_REFMUX success
REG_MODE0 success
07/06/2022,  Range is 5[kV/m], Resistor is 2.2[kOhm]
Timestamp 	voltage[V] 	current[mA] 	field strength[kV/m]
17:01:21.879	0.060378	0.027444	0.137222
17:01:21.937	0.059831	0.027196	0.135979
17:01:21.996	0.060899	0.027681	0.138407
17:01:22.056	0.061854	0.028115	0.140577
17:01:22.115	0.062276	0.028307	0.141536
17:01:22.175	0.062347	0.028339	0.141697
17:01:22.233	0.061450	0.027932	0.139660
17:01:22.291	0.060912	0.027687	0.138436
17:01:22.349	0.060629	0.027559	0.137793
17:01:22.406	0.061810	0.028096	0.140478
17:01:22.463	0.060914	0.027688	0.138441
17:01:22.521	0.062121	0.028237	0.141184
17:01:22.579	0.062719	0.028509	0.142543
17:01:22.636	0.060380	0.027445	0.137227
17:01:22.693	0.062613	0.028460	0.142302
17:01:22.750	0.060617	0.027553	0.137766
17:01:22.808	0.062359	0.028345	0.141724
17:01:22.865	0.061616	0.028007	0.140036
17:01:22.922	0.062051	0.028205	0.141026
17:01:22.980	0.063401	0.028819	0.144094
17:01:23.038	0.060731	0.027605	0.138026
17:01:23.097	0.062468	0.028394	0.141972
17:01:23.156	0.062259	0.028300	0.141498
17:01:23.214	0.061690	0.028041	0.140204
17:01:23.273	0.060595	0.027543	0.137717
17:01:23.332	0.060588	0.027540	0.137699
17:01:23.390	0.061132	0.027787	0.138936
17:01:23.449	0.062324	0.028329	0.141647
17:01:23.507	0.061173	0.027806	0.139029
17:01:23.565	0.060680	0.027582	0.137909
17:01:23.624	0.061789	0.028086	0.140429
17:01:23.682	0.061302	0.027865	0.139323
17:01:23.740	0.060748	0.027613	0.138064
17:01:23.799	0.060881	0.027673	0.138365
17:01:23.857	0.062993	0.028633	0.143167
17:01:23.915	0.062087	0.028221	0.141106
17:01:23.974	0.061353	0.027888	0.139439
17:01:24.032	0.061443	0.027929	0.139643
17:01:24.090	0.062407	0.028367	0.141834
17:01:24.149	0.060892	0.027678	0.138391
17:01:24.207	0.061166	0.027803	0.139014
17:01:24.266	0.061765	0.028075	0.140374
17:01:24.324	0.062874	0.028579	0.142896
17:01:24.382	0.062954	0.028615	0.143077
17:01:24.441	0.061021	0.027737	0.138684
17:01:24.500	0.061106	0.027775	0.138876
17:01:24.558	0.060856	0.027662	0.138310
17:01:24.617	0.062396	0.028362	0.141810
17:01:24.675	0.062340	0.028336	0.141681
17:01:24.733	0.062180	0.028264	0.141319
17:01:24.792	0.061636	0.028016	0.140082
17:01:24.851	0.061560	0.027982	0.139909
17:01:24.909	0.062380	0.028354	0.141772
17:01:24.968	0.061149	0.027795	0.138974
17:01:25.026	0.060835	0.027652	0.138260
17:01:25.085	0.061188	0.027813	0.139063
17:01:25.143	0.062569	0.028440	0.142202
17:01:25.202	0.062255	0.028298	0.141489
17:01:25.260	0.061106	0.027775	0.138876
17:01:25.318	0.061545	0.027975	0.139875
17:01:25.377	0.062453	0.028388	0.141939
17:01:25.436	0.062727	0.028512	0.142561
17:01:25.494	0.061317	0.027871	0.139357
17:01:25.552	0.060766	0.027621	0.138105
17:01:25.610	0.061867	0.028122	0.140608
17:01:25.668	0.060509	0.027504	0.137520
17:01:25.728	0.060762	0.027619	0.138096
17:01:25.787	0.060919	0.027691	0.138453
17:01:25.845	0.061573	0.027988	0.139938
17:01:25.904	0.062085	0.028220	0.141102
17:01:25.963	0.060905	0.027684	0.138421
17:01:26.022	0.060544	0.027520	0.137601
17:01:26.081	0.060539	0.027518	0.137588
17:01:26.140	0.060769	0.027622	0.138110
17:01:26.199	0.060936	0.027698	0.138491
17:01:26.258	0.062048	0.028203	0.141017
17:01:26.317	0.062302	0.028319	0.141595
17:01:26.376	0.061610	0.028005	0.140024
17:01:26.435	0.061306	0.027866	0.139332
17:01:26.495	0.061918	0.028145	0.140723
17:01:26.554	0.060982	0.027719	0.138596
17:01:26.613	0.061074	0.027761	0.138803
17:01:26.672	0.060625	0.027557	0.137784
