ID Read success  
REG_MODE2 success
REG_REFMUX success
REG_MODE0 success
07/06/2022,  Range is 5[kV/m], Resistor is 2.2[kOhm]
Timestamp 	voltage[V] 	current[mA] 	field strength[kV/m]
17:01:47.725	-0.062570	-0.028441	-0.142205
17:01:47.783	-0.060629	-0.027559	-0.137793
17:01:47.841	-0.059023	-0.026829	-0.134144
17:01:47.899	-0.060361	-0.027437	-0.137184
17:01:47.959	-0.061824	-0.028102	-0.140510
17:01:48.018	-0.063366	-0.028803	-0.144014
17:01:48.076	-0.063364	-0.028802	-0.144009
17:01:48.133	-0.065224	-0.029647	-0.148236
17:01:48.191	-0.066064	-0.030029	-0.150145
17:01:48.249	-0.065097	-0.029589	-0.147947
17:01:48.309	-0.064861	-0.029482	-0.147412
17:01:48.367	-0.065250	-0.029659	-0.148297
17:01:48.424	-0.061488	-0.027949	-0.139746
17:01:48.481	-0.060936	-0.027698	-0.138492
17:01:48.539	-0.058767	-0.026712	-0.133562
17:01:48.596	-0.060777	-0.027626	-0.138130
17:01:48.653	-0.062037	-0.028198	-0.140992
17:01:48.711	-0.063359	-0.028800	-0.143998
17:01:48.769	-0.062568	-0.028440	-0.142200
17:01:48.827	-0.060918	-0.027690	-0.138449
17:01:48.886	-0.061532	-0.027969	-0.139846
17:01:48.944	-0.060041	-0.027291	-0.136456
17:01:49.003	-0.058932	-0.026787	-0.133936
17:01:49.061	-0.058466	-0.026575	-0.132877
17:01:49.123	-0.059027	-0.026831	-0.134153
17:01:49.181	-0.058246	-0.026476	-0.132378
17:01:49.240	-0.058153	-0.026433	-0.132167
17:01:49.298	-0.057109	-0.025959	-0.129794
17:01:49.357	-0.056158	-0.025526	-0.127632
17:01:49.415	-0.059158	-0.026890	-0.134449
17:01:49.473	-0.059649	-0.027113	-0.135566
17:01:49.532	-0.059532	-0.027060	-0.135300
17:01:49.590	-0.060399	-0.027454	-0.137271
17:01:49.648	-0.061134	-0.027788	-0.138940
17:01:49.707	-0.058186	-0.026448	-0.132240
17:01:49.766	-0.057094	-0.025952	-0.129759
17:01:49.824	-0.056579	-0.025718	-0.128590
17:01:49.882	-0.054514	-0.024779	-0.123897
17:01:49.940	-0.052719	-0.023963	-0.119816
17:01:49.999	-0.051874	-0.023579	-0.117895
17:01:50.057	-0.052177	-0.023717	-0.118583
17:01:50.115	-0.053380	-0.024264	-0.121318
17:01:50.174	-0.057968	-0.026349	-0.131744
17:01:50.232	-0.062875	-0.028580	-0.142899
17:01:50.290	-0.067084	-0.030493	-0.152464
17:01:50.348	-0.071576	-0.032535	-0.162674
17:01:50.407	-0.074567	-0.033894	-0.169470
17:01:50.465	-0.074158	-0.033708	-0.168542
17:01:50.523	-0.073580	-0.033446	-0.167228
17:01:50.582	-0.072963	-0.033165	-0.165826
17:01:50.640	-0.071773	-0.032624	-0.163120
17:01:50.698	-0.068886	-0.031312	-0.156559
17:01:50.757	-0.071680	-0.032582	-0.162909
17:01:50.815	-0.074253	-0.033752	-0.168758
17:01:50.873	-0.073253	-0.033297	-0.166485
17:01:50.932	-0.075085	-0.034129	-0.170647
17:01:50.990	-0.076220	-0.034645	-0.173227
17:01:51.048	-0.075092	-0.034133	-0.170665
17:01:51.107	-0.072920	-0.033146	-0.165728
17:01:51.165	-0.073646	-0.033475	-0.167377
17:01:51.223	-0.075706	-0.034412	-0.172060
17:01:51.282	-0.079126	-0.035966	-0.179831
17:01:51.340	-0.084411	-0.038369	-0.191843
17:01:51.399	-0.085804	-0.039002	-0.195008
17:01:51.457	-0.085203	-0.038729	-0.193644
17:01:51.515	-0.085922	-0.039056	-0.195278
17:01:51.574	-0.088213	-0.040097	-0.200483
17:01:51.633	-0.087311	-0.039687	-0.198434
17:01:51.691	-0.086270	-0.039214	-0.196068
17:01:51.749	-0.085977	-0.039081	-0.195403
